2026-06-14 15:36:58 | INFO     | Run ID : 20260614_153658
2026-06-14 15:36:58 | INFO     | Device : cpu
2026-06-14 15:36:58 | INFO     | Train samples: 8981 | Val samples: 807
2026-06-14 15:36:58 | INFO     | Model parameters: 54,722
2026-06-14 15:37:01 | INFO     | Starting training for up to 400 epochs
2026-06-14 15:40:35 | INFO     | Epoch  44/400 | train_loss=0.0698 | val_loss=0.3858 | val_mae=0.138cm | val_mape=inf% | val_f1=0.913
2026-06-14 15:40:37 | INFO     | Epoch  45/400 | train_loss=0.0572 | val_loss=0.4504 | val_mae=0.110cm | val_mape=inf% | val_f1=0.911
2026-06-14 15:40:38 | INFO     | Epoch  46/400 | train_loss=0.0622 | val_loss=0.4446 | val_mae=0.078cm | val_mape=inf% | val_f1=0.911
2026-06-14 15:40:40 | INFO     | Epoch  47/400 | train_loss=0.0568 | val_loss=0.5114 | val_mae=0.124cm | val_mape=inf% | val_f1=0.909
2026-06-14 15:40:42 | INFO     | Epoch  48/400 | train_loss=0.0586 | val_loss=0.5263 | val_mae=0.183cm | val_mape=inf% | val_f1=0.912
2026-06-14 15:40:43 | INFO     | Epoch  49/400 | train_loss=0.0580 | val_loss=0.6489 | val_mae=0.184cm | val_mape=inf% | val_f1=0.901
2026-06-14 15:40:45 | INFO     | Epoch  50/400 | train_loss=0.0568 | val_loss=0.5372 | val_mae=0.130cm | val_mape=inf% | val_f1=0.907
2026-06-14 15:40:47 | INFO     | Epoch  51/400 | train_loss=0.0501 | val_loss=0.5807 | val_mae=0.189cm | val_mape=inf% | val_f1=0.902
2026-06-14 15:40:48 | INFO     | Epoch  52/400 | train_loss=0.0626 | val_loss=0.5234 | val_mae=0.187cm | val_mape=inf% | val_f1=0.914
2026-06-14 15:40:50 | INFO     | Epoch  53/400 | train_loss=0.0582 | val_loss=0.5844 | val_mae=0.158cm | val_mape=inf% | val_f1=0.918
2026-06-14 15:40:51 | INFO     | Epoch  54/400 | train_loss=0.0531 | val_loss=0.5378 | val_mae=0.110cm | val_mape=inf% | val_f1=0.914
2026-06-14 15:40:53 | INFO     | Epoch  55/400 | train_loss=0.0460 | val_loss=0.5595 | val_mae=0.084cm | val_mape=inf% | val_f1=0.912
2026-06-14 15:40:55 | INFO     | Epoch  56/400 | train_loss=0.0545 | val_loss=0.6210 | val_mae=0.092cm | val_mape=inf% | val_f1=0.913
2026-06-14 15:40:56 | INFO     | Epoch  57/400 | train_loss=0.0370 | val_loss=0.6116 | val_mae=0.074cm | val_mape=inf% | val_f1=0.911
2026-06-14 15:40:58 | INFO     | Epoch  58/400 | train_loss=0.0318 | val_loss=0.6119 | val_mae=0.084cm | val_mape=inf% | val_f1=0.914
2026-06-14 15:41:00 | INFO     | Epoch  59/400 | train_loss=0.0394 | val_loss=0.5986 | val_mae=0.083cm | val_mape=inf% | val_f1=0.914
2026-06-14 15:41:02 | INFO     | Epoch  60/400 | train_loss=0.0390 | val_loss=0.6378 | val_mae=0.080cm | val_mape=inf% | val_f1=0.916
2026-06-14 15:41:04 | INFO     | Epoch  61/400 | train_loss=0.0453 | val_loss=0.6508 | val_mae=0.067cm | val_mape=inf% | val_f1=0.908
2026-06-14 15:41:05 | INFO     | Epoch  62/400 | train_loss=0.0323 | val_loss=0.6797 | val_mae=0.060cm | val_mape=inf% | val_f1=0.911
2026-06-14 15:41:07 | INFO     | Epoch  63/400 | train_loss=0.0314 | val_loss=0.6101 | val_mae=0.065cm | val_mape=inf% | val_f1=0.915
2026-06-14 15:41:09 | INFO     | Epoch  64/400 | train_loss=0.0323 | val_loss=0.6999 | val_mae=0.075cm | val_mape=inf% | val_f1=0.911
2026-06-14 15:41:10 | INFO     | Epoch  65/400 | train_loss=0.0386 | val_loss=0.6886 | val_mae=0.081cm | val_mape=inf% | val_f1=0.911
2026-06-14 15:41:12 | INFO     | Epoch  66/400 | train_loss=0.0364 | val_loss=0.7511 | val_mae=0.081cm | val_mape=inf% | val_f1=0.911
2026-06-14 15:41:14 | INFO     | Epoch  67/400 | train_loss=0.0317 | val_loss=0.8406 | val_mae=0.095cm | val_mape=inf% | val_f1=0.899
2026-06-14 15:41:15 | INFO     | Epoch  68/400 | train_loss=0.0430 | val_loss=0.8954 | val_mae=0.130cm | val_mape=inf% | val_f1=0.908
2026-06-14 15:41:17 | INFO     | Epoch  69/400 | train_loss=0.0323 | val_loss=0.7968 | val_mae=0.133cm | val_mape=inf% | val_f1=0.909
2026-06-14 15:41:18 | INFO     | Epoch  70/400 | train_loss=0.0347 | val_loss=0.7596 | val_mae=0.119cm | val_mape=inf% | val_f1=0.911
2026-06-14 15:41:20 | INFO     | Epoch  71/400 | train_loss=0.0336 | val_loss=0.8224 | val_mae=0.127cm | val_mape=inf% | val_f1=0.900
2026-06-14 15:41:22 | INFO     | Epoch  72/400 | train_loss=0.0266 | val_loss=0.8608 | val_mae=0.198cm | val_mape=inf% | val_f1=0.909
2026-06-14 15:41:23 | INFO     | Epoch  73/400 | train_loss=0.0306 | val_loss=0.9468 | val_mae=0.170cm | val_mape=inf% | val_f1=0.899
2026-06-14 15:41:23 | INFO     | Early stopping triggered at epoch 73 (no improvement for 60 epochs)
2026-06-14 15:41:24 | INFO     | --------------------------------------------------------------------------------
2026-06-14 15:41:24 | INFO     | Training complete. Best val_loss: 0.1622
2026-06-14 15:41:24 | INFO     | Training figure  : checkpoints\bream_presence_v1\20260614_153920\training_summary.png
2026-06-14 15:41:24 | INFO     | Best checkpoint  : checkpoints\bream_presence_v1\20260614_153920\best_model.pt
2026-06-14 15:41:24 | INFO     | Run ID : 20260614_154124
2026-06-14 15:41:24 | INFO     | Device : cpu
2026-06-14 15:41:24 | INFO     | Train samples: 8981 | Val samples: 807
2026-06-14 15:41:24 | INFO     | Model parameters: 54,722
2026-06-14 15:41:24 | INFO     | Starting training for up to 400 epochs
2026-06-14 15:41:24 | INFO     | --------------------------------------------------------------------------------
2026-06-14 15:41:27 | INFO     | Epoch   1/400 | train_loss=0.4176 | val_loss=0.2979 | val_mae=0.064cm | val_mape=inf% | val_f1=0.915  [best]
2026-06-14 15:41:29 | INFO     | Epoch   2/400 | train_loss=0.3016 | val_loss=0.2260 | val_mae=0.080cm | val_mape=inf% | val_f1=0.924  [best]
2026-06-14 15:41:32 | INFO     | Epoch   3/400 | train_loss=0.2404 | val_loss=0.1949 | val_mae=0.220cm | val_mape=inf% | val_f1=0.936  [best]
2026-06-14 15:41:33 | INFO     | Epoch   4/400 | train_loss=0.2166 | val_loss=0.2191 | val_mae=0.540cm | val_mape=inf% | val_f1=0.898
2026-06-14 15:41:35 | INFO     | Epoch   5/400 | train_loss=0.1954 | val_loss=0.1592 | val_mae=0.475cm | val_mape=inf% | val_f1=0.922  [best]
2026-06-14 15:41:37 | INFO     | Epoch   6/400 | train_loss=0.1857 | val_loss=0.1516 | val_mae=0.325cm | val_mape=inf% | val_f1=0.940  [best]
2026-06-14 15:41:38 | INFO     | Epoch   7/400 | train_loss=0.1763 | val_loss=0.1588 | val_mae=0.097cm | val_mape=inf% | val_f1=0.928
2026-06-14 15:41:40 | INFO     | Epoch   8/400 | train_loss=0.1731 | val_loss=0.1551 | val_mae=0.108cm | val_mape=inf% | val_f1=0.928
2026-06-14 15:41:41 | INFO     | Epoch   9/400 | train_loss=0.1596 | val_loss=0.1763 | val_mae=0.194cm | val_mape=inf% | val_f1=0.931
2026-06-14 15:41:43 | INFO     | Epoch  10/400 | train_loss=0.1495 | val_loss=0.1373 | val_mae=0.381cm | val_mape=inf% | val_f1=0.934  [best]
2026-06-14 15:41:44 | INFO     | Epoch  11/400 | train_loss=0.1491 | val_loss=0.1707 | val_mae=0.474cm | val_mape=inf% | val_f1=0.916
2026-06-14 15:41:46 | INFO     | Epoch  12/400 | train_loss=0.1462 | val_loss=0.1601 | val_mae=0.194cm | val_mape=inf% | val_f1=0.932
2026-06-14 15:41:47 | INFO     | Epoch  13/400 | train_loss=0.1451 | val_loss=0.1780 | val_mae=0.391cm | val_mape=inf% | val_f1=0.927
2026-06-14 15:41:49 | INFO     | Epoch  14/400 | train_loss=0.1413 | val_loss=0.1558 | val_mae=0.454cm | val_mape=inf% | val_f1=0.935
2026-06-14 15:41:50 | INFO     | Epoch  15/400 | train_loss=0.1475 | val_loss=0.1679 | val_mae=0.444cm | val_mape=inf% | val_f1=0.937
2026-06-14 15:41:52 | INFO     | Epoch  16/400 | train_loss=0.1353 | val_loss=0.2295 | val_mae=0.442cm | val_mape=inf% | val_f1=0.907
2026-06-14 15:41:53 | INFO     | Epoch  17/400 | train_loss=0.1375 | val_loss=0.1865 | val_mae=0.323cm | val_mape=inf% | val_f1=0.927
2026-06-14 15:41:55 | INFO     | Epoch  18/400 | train_loss=0.1319 | val_loss=0.1620 | val_mae=0.374cm | val_mape=inf% | val_f1=0.930
2026-06-14 15:41:56 | INFO     | Epoch  19/400 | train_loss=0.1299 | val_loss=0.1603 | val_mae=0.438cm | val_mape=inf% | val_f1=0.941
2026-06-14 15:41:57 | INFO     | Epoch  20/400 | train_loss=0.1202 | val_loss=0.2980 | val_mae=0.818cm | val_mape=inf% | val_f1=0.908
