recording_file,peak_sample,window_start,window_end,peak_timestamp,window_start_time,window_end_time,presence_prob,length_cm,weight_g
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,6263,6244,6282,2025-10-28 11:40:37.361,2025-10-28 11:40:36.880,2025-10-28 11:40:37.841,0.8349,25.27,373.3
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,6365,6346,6384,2025-10-28 11:40:39.921,2025-10-28 11:40:39.441,2025-10-28 11:40:40.385,0.9458,27.04,360.5
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,6537,6518,6556,2025-10-28 11:40:44.223,2025-10-28 11:40:43.745,2025-10-28 11:40:44.703,0.7043,26.05,410.1
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,6809,6790,6828,2025-10-28 11:40:51.038,2025-10-28 11:40:50.559,2025-10-28 11:40:51.504,0.9439,26.71,383.2
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,6977,6958,6996,2025-10-28 11:40:55.229,2025-10-28 11:40:54.765,2025-10-28 11:40:55.709,0.9596,26.79,425.9
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,7097,7078,7116,2025-10-28 11:40:58.236,2025-10-28 11:40:57.772,2025-10-28 11:40:58.717,0.8794,27.36,430.8
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,7265,7246,7284,2025-10-28 11:41:02.443,2025-10-28 11:41:01.964,2025-10-28 11:41:02.923,0.976,30.89,394.4
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,7443,7424,7462,2025-10-28 11:41:06.906,2025-10-28 11:41:06.426,2025-10-28 11:41:07.386,0.9337,25.93,399.9
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,7549,7530,7568,2025-10-28 11:41:09.575,2025-10-28 11:41:09.099,2025-10-28 11:41:10.058,0.5582,25.9,401.4
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,7709,7690,7728,2025-10-28 11:41:13.575,2025-10-28 11:41:13.081,2025-10-28 11:41:14.063,0.9314,27.15,383.8
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,7809,7790,7828,2025-10-28 11:41:16.057,2025-10-28 11:41:15.591,2025-10-28 11:41:16.538,0.9769,26.44,320.8
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,7971,7952,7990,2025-10-28 11:41:20.120,2025-10-28 11:41:19.640,2025-10-28 11:41:20.604,0.8494,27.77,529.5
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,8107,8088,8126,2025-10-28 11:41:23.534,2025-10-28 11:41:23.047,2025-10-28 11:41:24.007,0.9255,28.18,350.7
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,8415,8396,8434,2025-10-28 11:41:31.237,2025-10-28 11:41:30.757,2025-10-28 11:41:31.716,0.9646,27.58,421.1
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,8547,8528,8566,2025-10-28 11:41:34.542,2025-10-28 11:41:34.067,2025-10-28 11:41:35.013,0.9663,26.99,373.6
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,8721,8702,8740,2025-10-28 11:41:38.898,2025-10-28 11:41:38.419,2025-10-28 11:41:39.363,0.9651,27.34,349.7
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,8869,8850,8888,2025-10-28 11:41:42.602,2025-10-28 11:41:42.130,2025-10-28 11:41:43.087,0.9628,25.1,436.6
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,9135,9116,9154,2025-10-28 11:41:49.265,2025-10-28 11:41:48.784,2025-10-28 11:41:49.731,0.9677,26.52,388.2
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,9215,9196,9234,2025-10-28 11:41:51.264,2025-10-28 11:41:50.785,2025-10-28 11:41:51.722,0.9733,27.51,418.7
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,9433,9414,9452,2025-10-28 11:41:56.720,2025-10-28 11:41:56.239,2025-10-28 11:41:57.197,0.9693,27.63,425.5
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,9589,9570,9608,2025-10-28 11:42:00.621,2025-10-28 11:42:00.141,2025-10-28 11:42:01.100,0.9583,24.45,325.2
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,9851,9832,9870,2025-10-28 11:42:07.178,2025-10-28 11:42:06.701,2025-10-28 11:42:07.661,0.9802,28.77,465.5
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,10127,10108,10146,2025-10-28 11:42:14.106,2025-10-28 11:42:13.610,2025-10-28 11:42:14.569,0.7554,28.7,413.8
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,10287,10268,10306,2025-10-28 11:42:18.089,2025-10-28 11:42:17.633,2025-10-28 11:42:18.571,0.942,29.04,388.5
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,10357,10338,10376,2025-10-28 11:42:19.850,2025-10-28 11:42:19.370,2025-10-28 11:42:20.330,0.9645,25.58,423.1
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,10511,10492,10530,2025-10-28 11:42:23.705,2025-10-28 11:42:23.225,2025-10-28 11:42:24.185,0.9315,24.99,357.5
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,11435,11416,11454,2025-10-28 11:42:46.836,2025-10-28 11:42:46.354,2025-10-28 11:42:47.316,0.9744,26.16,402.1
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,11455,11436,11474,2025-10-28 11:42:47.331,2025-10-28 11:42:46.850,2025-10-28 11:42:47.811,0.7417,24.63,361.5
