2026-06-14 15:36:58 | INFO     | Run ID  : 20260614_153658
2026-06-14 15:36:58 | INFO     | Device  : cpu
2026-06-14 15:36:58 | INFO     | Target  : weight (g)
2026-06-14 15:36:58 | INFO     | Train samples: 497 | Val samples: 269
2026-06-14 15:36:58 | INFO     | Model parameters: 54,722
2026-06-14 15:37:01 | INFO     | Starting training for up to 600 epochs
2026-06-14 15:37:12 | INFO     | Epoch  65/600 | train_loss=1692.2294 | val_loss=3681.8282 | val_mae=94.82g | val_mape=24.51% | val_f1=1.000
2026-06-14 15:37:12 | INFO     | Epoch  66/600 | train_loss=1614.1796 | val_loss=4750.8431 | val_mae=115.24g | val_mape=22.89% | val_f1=1.000
2026-06-14 15:37:12 | INFO     | Epoch  67/600 | train_loss=1692.2256 | val_loss=3508.0655 | val_mae=91.13g | val_mape=24.33% | val_f1=1.000
2026-06-14 15:37:12 | INFO     | Epoch  68/600 | train_loss=1717.7149 | val_loss=3733.3552 | val_mae=95.80g | val_mape=23.89% | val_f1=1.000
2026-06-14 15:37:12 | INFO     | Epoch  69/600 | train_loss=1475.8799 | val_loss=3467.3310 | val_mae=89.52g | val_mape=23.90% | val_f1=1.000
2026-06-14 15:37:13 | INFO     | Epoch  70/600 | train_loss=1666.9281 | val_loss=3119.1578 | val_mae=82.95g | val_mape=22.06% | val_f1=1.000  [best]
2026-06-14 15:37:13 | INFO     | Epoch  71/600 | train_loss=1535.5731 | val_loss=3706.5775 | val_mae=94.70g | val_mape=20.68% | val_f1=1.000
2026-06-14 15:37:13 | INFO     | Epoch  72/600 | train_loss=1594.0761 | val_loss=3802.4853 | val_mae=96.24g | val_mape=21.04% | val_f1=1.000
2026-06-14 15:37:13 | INFO     | Epoch  73/600 | train_loss=1617.1091 | val_loss=3106.9427 | val_mae=83.11g | val_mape=20.86% | val_f1=1.000  [best]
2026-06-14 15:37:13 | INFO     | Epoch  74/600 | train_loss=1547.6211 | val_loss=3176.3021 | val_mae=84.59g | val_mape=21.61% | val_f1=1.000
2026-06-14 15:37:13 | INFO     | Epoch  75/600 | train_loss=1658.9751 | val_loss=3181.2514 | val_mae=84.45g | val_mape=21.22% | val_f1=1.000
2026-06-14 15:37:13 | INFO     | Epoch  76/600 | train_loss=1486.6033 | val_loss=3599.6495 | val_mae=91.65g | val_mape=21.54% | val_f1=1.000
2026-06-14 15:37:14 | INFO     | Epoch  77/600 | train_loss=1477.7375 | val_loss=3188.9298 | val_mae=83.79g | val_mape=20.95% | val_f1=1.000
2026-06-14 15:37:14 | INFO     | Epoch  78/600 | train_loss=1597.0613 | val_loss=3639.9903 | val_mae=93.51g | val_mape=22.05% | val_f1=1.000
2026-06-14 15:37:14 | INFO     | Epoch  79/600 | train_loss=1461.4715 | val_loss=3794.1301 | val_mae=97.12g | val_mape=21.22% | val_f1=1.000
2026-06-14 15:37:14 | INFO     | Epoch  80/600 | train_loss=1479.6442 | val_loss=2862.7801 | val_mae=77.79g | val_mape=20.27% | val_f1=1.000  [best]
2026-06-14 15:37:14 | INFO     | Epoch  81/600 | train_loss=1434.2295 | val_loss=3235.3729 | val_mae=86.10g | val_mape=23.81% | val_f1=1.000
2026-06-14 15:37:14 | INFO     | Epoch  82/600 | train_loss=1667.7374 | val_loss=3749.3617 | val_mae=94.45g | val_mape=19.96% | val_f1=1.000
2026-06-14 15:37:15 | INFO     | Epoch  83/600 | train_loss=1524.9658 | val_loss=3396.9389 | val_mae=88.29g | val_mape=21.67% | val_f1=1.000
2026-06-14 15:37:15 | INFO     | Epoch  84/600 | train_loss=1717.0298 | val_loss=3022.1723 | val_mae=82.21g | val_mape=22.57% | val_f1=1.000
2026-06-14 15:37:15 | INFO     | Epoch  85/600 | train_loss=1545.7557 | val_loss=4288.9054 | val_mae=106.51g | val_mape=21.84% | val_f1=1.000
2026-06-14 15:37:15 | INFO     | Epoch  86/600 | train_loss=1859.7998 | val_loss=3594.5427 | val_mae=92.95g | val_mape=24.22% | val_f1=1.000
2026-06-14 15:37:15 | INFO     | Epoch  87/600 | train_loss=1609.2483 | val_loss=3215.1688 | val_mae=83.66g | val_mape=19.16% | val_f1=1.000
2026-06-14 15:37:15 | INFO     | Epoch  88/600 | train_loss=1587.2455 | val_loss=3306.3965 | val_mae=86.81g | val_mape=20.59% | val_f1=1.000
2026-06-14 15:37:15 | INFO     | Epoch  89/600 | train_loss=1614.7233 | val_loss=3050.3060 | val_mae=82.14g | val_mape=24.08% | val_f1=1.000
2026-06-14 15:37:16 | INFO     | Epoch  90/600 | train_loss=1383.8130 | val_loss=3353.3375 | val_mae=87.87g | val_mape=19.85% | val_f1=1.000
2026-06-14 15:37:16 | INFO     | Epoch  91/600 | train_loss=1589.6232 | val_loss=3413.7149 | val_mae=90.11g | val_mape=25.14% | val_f1=1.000
2026-06-14 15:37:16 | INFO     | Epoch  92/600 | train_loss=1489.0328 | val_loss=3149.8633 | val_mae=84.04g | val_mape=20.34% | val_f1=1.000
2026-06-14 15:37:16 | INFO     | Epoch  93/600 | train_loss=1332.0243 | val_loss=3358.4338 | val_mae=87.98g | val_mape=21.38% | val_f1=1.000
2026-06-14 15:37:16 | INFO     | Epoch  94/600 | train_loss=1713.6444 | val_loss=3353.9522 | val_mae=88.17g | val_mape=22.77% | val_f1=1.000
2026-06-14 15:37:16 | INFO     | Epoch  95/600 | train_loss=1501.4558 | val_loss=3263.4995 | val_mae=85.87g | val_mape=24.53% | val_f1=1.000
2026-06-14 15:37:17 | INFO     | Epoch  96/600 | train_loss=1379.2451 | val_loss=3675.2764 | val_mae=94.10g | val_mape=21.60% | val_f1=1.000
2026-06-14 15:37:17 | INFO     | Epoch  97/600 | train_loss=1461.5610 | val_loss=3533.9677 | val_mae=91.62g | val_mape=23.82% | val_f1=1.000
2026-06-14 15:37:17 | INFO     | Epoch  98/600 | train_loss=1427.5687 | val_loss=3498.0706 | val_mae=90.24g | val_mape=20.16% | val_f1=1.000
2026-06-14 15:37:17 | INFO     | Epoch  99/600 | train_loss=1507.5705 | val_loss=3097.3949 | val_mae=82.70g | val_mape=20.88% | val_f1=1.000
2026-06-14 15:37:17 | INFO     | Epoch 100/600 | train_loss=1455.7251 | val_loss=3280.6216 | val_mae=86.55g | val_mape=21.88% | val_f1=1.000
2026-06-14 15:37:17 | INFO     | Epoch 101/600 | train_loss=1540.7019 | val_loss=3290.7431 | val_mae=86.98g | val_mape=23.23% | val_f1=1.000
2026-06-14 15:37:17 | INFO     | Epoch 102/600 | train_loss=1529.5898 | val_loss=3614.8512 | val_mae=93.52g | val_mape=21.55% | val_f1=1.000
2026-06-14 15:37:18 | INFO     | Epoch 103/600 | train_loss=1463.2141 | val_loss=4036.9551 | val_mae=101.32g | val_mape=21.74% | val_f1=1.000
2026-06-14 15:37:18 | INFO     | Epoch 104/600 | train_loss=1574.9100 | val_loss=3677.1118 | val_mae=94.67g | val_mape=22.73% | val_f1=1.000
2026-06-14 15:37:18 | INFO     | Epoch 105/600 | train_loss=1504.4149 | val_loss=3982.0466 | val_mae=99.97g | val_mape=21.17% | val_f1=1.000
2026-06-14 15:37:18 | INFO     | Epoch 106/600 | train_loss=1545.5727 | val_loss=3162.3852 | val_mae=84.95g | val_mape=26.50% | val_f1=1.000
2026-06-14 15:37:18 | INFO     | Epoch 107/600 | train_loss=1406.6847 | val_loss=3873.2644 | val_mae=97.60g | val_mape=21.12% | val_f1=1.000
2026-06-14 15:37:18 | INFO     | Epoch 108/600 | train_loss=1443.0280 | val_loss=3046.5902 | val_mae=81.07g | val_mape=23.34% | val_f1=1.000
